layer,sourceId,name,countryCode,accepted,inputBbox,normalizedBbox,maxLongitudeJump,antimeridianSplitCount,postSplitMaxComponentLongitudeSpan,polarStatus,repairStatus,tileReplicationCount,rejectedReason
adm1,43142294B66953226377953,Laghouat,DZA,True,"[1.335249,32.8040363,4.479801,34.695157]","[1.335249,32.8040363,4.479801,34.695157]",0.189395,0,3.144552,within_safe_vector_latitude,not_run+unchanged,1,
adm1,43142294B41901445774444,Jijel,DZA,True,"[5.4198174,36.518827,6.510529,36.9397419]","[5.4198174,36.518827,6.510529,36.9397419]",0.026983652,0,1.0907116,within_safe_vector_latitude,not_run+unchanged,1,
adm1,43142294B97180369082904,Mascara,DZA,True,"[-0.521517,35.011227,0.902122,35.784642]","[-0.521517,35.011227,0.902122,35.784642]",0.0525847,0,1.423639,within_safe_vector_latitude,not_run+unchanged,2,
adm1,43142294B34216728731802,Médéa,DZA,True,"[2.142852,35.445586,3.629071,36.504563]","[2.142852,35.445586,3.629071,36.504563]",0.076859,0,1.486219,within_safe_vector_latitude,not_run+unchanged,1,
adm1,43142294B83605883333857,Mostaganem,DZA,True,"[-0.115647,35.672047,0.740988,36.33394035800006]","[-0.115647,35.672047,0.740988,36.33394035800006]",0.035983,0,0.856635,within_safe_vector_latitude,not_run+unchanged,2,
adm1,43142294B7086800589276,Tébessa,DZA,True,"[7.227512,34.24363883424433,8.4764,36.003776]","[7.227512,34.24363883424433,8.4764,36.003776]",0.107674,0,1.248888,within_safe_vector_latitude,not_run+unchanged,1,
adm1,43142294B98012200258451,Boumerdès,DZA,True,"[3.2235673,36.548606,4.035691,36.92330541668616]","[3.2235673,36.548606,4.035691,36.92330541668616]",0.0319638,0,0.8121237,within_safe_vector_latitude,not_run+unchanged,1,
adm1,43142294B83954267936020,Blida,DZA,True,"[2.4764792,36.3297501,3.307116,36.6725912]","[2.4764792,36.3297501,3.307116,36.6725912]",0.0296802,0,0.8306368,within_safe_vector_latitude,not_run+unchanged,1,
adm1,43142294B58957670986273,Bejaia,DZA,True,"[4.350452,36.2176051,5.482679,36.895941]","[4.350452,36.2176051,5.482679,36.895941]",0.029329073,0,1.132227,within_safe_vector_latitude,not_run+unchanged,1,
adm1,43142294B23379165901565,Tamanrasset,DZA,True,"[0.933021,18.968147,10.270553,29.758296]","[0.933021,18.968147,10.270553,29.758296]",0.3477561,0,9.337532,within_safe_vector_latitude,not_run+unchanged,2,
adm1,43142294B45118294569306,Khenchela,DZA,True,"[6.497299,34.154288,7.549142,35.6728814]","[6.497299,34.154288,7.549142,35.6728814]",0.073697,0,1.051843,within_safe_vector_latitude,not_run+unchanged,1,
adm1,43142294B89431929839902,Oran,DZA,True,"[-1.061482874790447,35.333953,-0.113693,35.909322718023226]","[-1.061482874790447,35.333953,-0.113693,35.909322718023226]",0.0525847,0,0.947789875,within_safe_vector_latitude,not_run+unchanged,1,
adm1,43142294B72736403696656,Bouira,DZA,True,"[3.29331,35.853751,4.394548,36.612833]","[3.29331,35.853751,4.394548,36.612833]",0.058344,0,1.101238,within_safe_vector_latitude,not_run+unchanged,1,
adm1,43142294B26097348484504,El Bayadh,DZA,True,"[-0.415873,30.701657,2.360306,34.448165]","[-0.415873,30.701657,2.360306,34.448165]",0.259596,0,2.776179,within_safe_vector_latitude,not_run+unchanged,4,
adm1,43142294B62233719624556,Annaba,DZA,True,"[7.287414735381676,36.602898,7.830145,37.0839393]","[7.287414735381676,36.602898,7.830145,37.0839393]",0.0233362,0,0.542730265,within_safe_vector_latitude,not_run+unchanged,1,
adm1,43142294B60721224304202,Souk Ahras,DZA,True,"[7.283261,35.806568,8.4096565,36.470146]","[7.283261,35.806568,8.4096565,36.470146]",0.033067,0,1.1263955,within_safe_vector_latitude,not_run+unchanged,1,
adm1,43142294B98309179755088,Tizi Ouzou,DZA,True,"[3.715829,36.452644,4.652958,36.91049937268121]","[3.715829,36.452644,4.652958,36.91049937268121]",0.029296,0,0.937129,within_safe_vector_latitude,not_run+unchanged,1,
adm1,66186276B69138566591314,Mississippi,USA,True,"[-91.65403309899995,30.180922253000062,-88.09789332599996,34.99602397100006]","[-91.65403309899995,30.180922253000062,-88.09789332599996,34.99602397100006]",0.411636112,0,3.556139773,within_safe_vector_latitude,not_run+unchanged,4,
adm1,66186276B6801956407400,North Carolina,USA,True,"[-84.32187325299998,33.843238468961594,-75.46188862899999,36.588124135000044]","[-84.32187325299998,33.843238468961594,-75.46188862899999,36.588124135000044]",0.383205117,0,8.604636666,within_safe_vector_latitude,not_run+unchanged,2,
adm1,66186276B83300161667341,Oklahoma,USA,True,"[-103.00252733099995,33.61583899500005,-94.43066908599997,37.002212315000065]","[-103.00252733099995,33.61583899500005,-94.43066908599997,37.002212315000065]",0.435876107,0,8.571858245,within_safe_vector_latitude,not_run+unchanged,2,
adm1,66186276B53580985925186,Virginia,USA,True,"[-83.67539916199996,36.54074520800003,-75.24226768499994,39.46601984800003]","[-83.67539916199996,36.54074520800003,-75.24226768499994,39.46601984800003]",0.383205117,0,7.804974039,within_safe_vector_latitude,not_run+unchanged,2,
adm1,66186276B64762166704956,West Virginia,USA,True,"[-82.63905795899996,37.20149026100006,-77.71952153399997,40.638808984000036]","[-82.63905795899996,37.20149026100006,-77.71952153399997,40.638808984000036]",0.456553141,0,4.919536425,within_safe_vector_latitude,not_run+unchanged,2,
adm1,66186276B41335105066757,Louisiana,USA,True,"[-94.04315380899999,28.931645209000067,-88.81702226899995,33.01946291400003]","[-94.04315380899999,28.931645209000067,-88.81702226899995,33.01946291400003]",0.420207111,0,5.036994519,within_safe_vector_latitude,not_run+unchanged,4,
adm1,66186276B37442548568489,Michigan,USA,True,"[-90.41814314199996,41.69612597300005,-82.41681755314869,48.19098378700005]","[-90.41814314199996,41.69612597300005,-82.41681755314869,48.19098378700005]",0.423075138,0,6.522674087,within_safe_vector_latitude,not_run+unchanged,2,
adm1,66186276B15934532614691,Massachusetts,USA,True,"[-73.50814337399999,41.23831868161377,-69.93014802399995,42.88459777600008]","[-73.50814337399999,41.23831868161377,-69.93014802399995,42.88459777600008]",0.455844149,0,3.57799535,within_safe_vector_latitude,not_run+unchanged,1,
adm1,66186276B48953429733047,Idaho,USA,True,"[-117.24268834399999,41.988558004000026,-111.04357584499996,49.000750262850055]","[-117.24268834399999,41.988558004000026,-111.04357584499996,49.000750262850055]",0.432941085,0,6.199112499,within_safe_vector_latitude,not_run+unchanged,4,
adm1,66186276B65591139260314,Florida,USA,True,"[-87.63494298199998,24.54580849242092,-80.03219880499995,31.000889802000074]","[-87.63494298199998,24.54580849242092,-80.03219880499995,31.000889802000074]",0.368506107,0,7.602744177,within_safe_vector_latitude,not_run+unchanged,1,
adm1,66186276B73402293045483,Nebraska,USA,True,"[-104.05352406199995,40.00000509000006,-95.30829771899994,43.00138493900005]","[-104.05352406199995,40.00000509000006,-95.30829771899994,43.00138493900005]",0.472526116,0,8.745226343,within_safe_vector_latitude,not_run+unchanged,4,
adm1,66186276B98555229882405,Washington,USA,True,"[-124.73184345599998,45.54354650500005,-116.91600259499995,49.00223182857521]","[-124.73184345599998,45.54354650500005,-116.91600259499995,49.00223182857521]",0.444215079,0,7.815840861,within_safe_vector_latitude,not_run+unchanged,4,
